Model,Variant,2026 Price (SRP PHP)
Isuzu C & E Series,CYZ52T,Price on Request
Isuzu C & E Series,CYH52W,Price on Request
Isuzu Modern PUV,Traviz PUV Class I,Price on Request
Isuzu Modern PUV,NLR77 Almazora Class II,Price on Request
Isuzu Modern PUV,NLR77 Centro Class II,Price on Request
Isuzu Passenger Bus,NQR Bus (28-35 Seater),3200000
Isuzu Passenger Bus,FVR Bus (45-61 Seater),4500000
Isuzu S&E Series,SW5/SG5 (Super Heavy),Price on Request
